These first two lines will not be processed thanks to 'header is 2 lines'
option in the LOAD request.
MATH	MAT001	5
MATH	MAT002	9
MATH	MAT003	7.5
MATH	MAT004	9
MATH	MAT005	4
MATH	MAT009	5
MATH	MAT010	2
MATH	MAT011	8
PHYSICS	MAT001	18
PHYSICS	MAT002	16
PHYSICS	MAT003	17
PHYSICS	MAT004	8
PHYSICS	MAT005	6
PHYSICS	MAT009	15
PHYSICS	MAT010	19
PHYSICS	MAT011	20
CHEMISTRY	MAT001	15
CHEMISTRY	MAT002	16
CHEMISTRY	MAT003	0.5
CHEMISTRY	MAT004	17
CHEMISTRY	MAT005	16
CHEMISTRY	MAT009	8
CHEMISTRY	MAT010	5
CHEMISTRY	MAT011	3
