These first two lines will not be processed thanks to 'header is 2 lines'
option in the LOAD request.
MATH	MAT001	12
MATH	MAT002	15
MATH	MAT003	4
MATH	MAT004	8
MATH	MAT005	7
MATH	MAT006	15.5
MATH	MAT007	6
MATH	MAT008	6
PHYSICS	MAT001	15
PHYSICS	MAT002	5
PHYSICS	MAT003	14
PHYSICS	MAT004	18.5
PHYSICS	MAT005	8
PHYSICS	MAT006	5.5
PHYSICS	MAT007	14
PHYSICS	MAT008	11
CHEMISTRY	MAT001	7
CHEMISTRY	MAT002	9
CHEMISTRY	MAT003	4.5
CHEMISTRY	MAT004	14
CHEMISTRY	MAT005	9
CHEMISTRY	MAT006	6.5
CHEMISTRY	MAT007	7.5
CHEMISTRY	MAT008	16
