These first two lines will not be processed thanks to 'header is 2 lines'
option in the LOAD request.
MATH	MAT001	15
MATH	MAT002	15
MATH	MAT004	14
MATH	MAT005	16
MATH	MAT007	19
MATH	MAT008	20
MATH	MAT010	1
MATH	MAT011	12
PHYSICS	MAT001	15
PHYSICS	MAT002	16
PHYSICS	MAT004	17
PHYSICS	MAT005	18
PHYSICS	MAT007	19
PHYSICS	MAT008	0.5
PHYSICS	MAT010	15
PHYSICS	MAT011	12
CHEMISTRY	MAT001	16
CHEMISTRY	MAT002	17
CHEMISTRY	MAT004	18
CHEMISTRY	MAT005	19
CHEMISTRY	MAT007	20
CHEMISTRY	MAT008	14
CHEMISTRY	MAT010	0
CHEMISTRY	MAT011	15
